Unnamed: 0,Steps,Time [s],[A] Directional Deformation Flexible (Min) [m],[B] Directional Deformation Flexible (Max) [m],[C] Directional Deformation SiC (Min) [m],[D] Directional Deformation SiC (Max) [m],[E] Directional Deformation Asperity (Min) [m],[F] Directional Deformation Asperity (Max) [m],[I] Directional Velocity SiC (Min) [m/s],[J] Directional Velocity SiC (Max) [m/s],[K] Directional Velocity Asperity (Min) [m/s],[L] Directional Velocity Asperity (Max) [m/s],[M] Directional Acceleration Flexible (Min) [m/s²],[N] Directional Acceleration Flexible (Max) [m/s²],[O] Directional Acceleration SiC (Min) [m/s²],[P] Directional Acceleration SiC (Max) [m/s²],[Q] Directional Acceleration Asperity (Min) [m/s²],[R] Directional Acceleration Asperity (Max) [m/s²],[S] Equivalent Elastic Strain Flexible (Min) [m/m],[T] Equivalent Elastic Strain Flexible (Max) [m/m],[U] Equivalent Elastic Strain SiC (Min) [m/m],[V] Equivalent Elastic Strain SiC (Max) [m/m],[W] Equivalent Elastic Strain Asperity (Min) [m/m],[X] Equivalent Elastic Strain Asperity (Max) [m/m],[Y] Equivalent Stress Flexible (Min) [Pa],[Z] Equivalent Stress Flexible (Max) [Pa],[AA] Equivalent Stress SiC (Min) [Pa],[AB] Equivalent Stress SiC (Max) [Pa],[AC] Equivalent Stress Asperity (Min) [Pa],[AD] Equivalent Stress Asperity (Max) [Pa],[AE] Directional Deformation 4 (Min) [m],[AF] Directional Deformation 4 (Max) [m],[AG] Directional Velocity 4 (Min) [m/s],[AH] Directional Velocity 4 (Max) [m/s],[AI] Directional Acceleration (Min) [m/s²],[AJ] Directional Acceleration (Max) [m/s²],[AK] Equivalent Elastic Strain 4 (Min) [m/m],[AL] Equivalent Elastic Strain 4 (Max) [m/m],[AM] Equivalent Stress 4 (Min) [Pa],[AN] Equivalent Stress 4 (Max) [Pa],[AM] Equivalent Stress 4 (Min) [Pa],[AN] Equivalent Stress 4 (Max) [Pa]
21,1,2.82E-06,-9.61E-05,2.44E-06,-9.59E-05,-6.28E-05,-9.61E-05,2.44E-06,-40.822,1.45,-36.452,4.8871,-5.04E+08,5.85E+08,-5.04E+08,5.85E+08,-1.38E+08,2.13E+08,0.00E+00,1.92E-02,1.99E-06,1.92E-02,0.00E+00,1.27E-02,0,8.46E+09,4.81E+05,8.46E+09,0.00E+00,1.40E+09,-9.61E-05,2.44E-06,-4.08E+01,4.89E+00,-5.04E+08,5.85E+08,0.00E+00,1.92E-02,0,8.46E+09,0,1.85E+09
22,1,2.96E-06,-1.00E-04,2.71E-06,-1.00E-04,-6.36E-05,-1.00E-04,2.71E-06,-40.822,-15.471,-34.081,2.9846,-4.50E+08,3.55E+08,-4.50E+08,3.55E+08,-1.35E+08,1.37E+08,0.00E+00,1.90E-02,3.06E-06,1.90E-02,0.00E+00,1.27E-02,0,8.38E+09,3.95E+05,8.38E+09,0.00E+00,1.40E+09,-1.00E-04,2.71E-06,-4.08E+01,2.98E+00,-4.50E+08,3.55E+08,0.00E+00,1.90E-02,0,8.38E+09,0,1.81E+09
23,1,3.11E-06,-1.05E-04,2.57E-06,-1.05E-04,-6.93E-05,-1.05E-04,2.57E-06,-46.537,-15.471,-32.617,4.0958,-3.71E+08,3.34E+08,-3.71E+08,3.34E+08,-1.15E+08,1.42E+08,0.00E+00,1.90E-02,2.79E-06,1.90E-02,0.00E+00,1.27E-02,0,8.41E+09,7.45E+05,8.41E+09,0.00E+00,1.39E+09,-1.05E-04,2.57E-06,-4.65E+01,4.10E+00,-3.71E+08,3.34E+08,0.00E+00,1.90E-02,0,8.41E+09,0,1.75E+09
24,1,3.25E-06,-1.09E-04,2.77E-06,-1.09E-04,-7.59E-05,-1.09E-04,2.77E-06,-46.537,-20.93,-32.765,4.3748,-3.11E+08,2.92E+08,-3.11E+08,2.92E+08,-1.87E+08,1.60E+08,0.00E+00,1.87E-02,2.74E-06,1.87E-02,0.00E+00,1.27E-02,0,8.28E+09,6.54E+05,8.28E+09,0.00E+00,1.39E+09,-1.09E-04,2.77E-06,-4.65E+01,4.37E+00,-3.11E+08,2.92E+08,0.00E+00,1.87E-02,0,8.28E+09,0,1.70E+09
25,1,3.39E-06,-1.14E-04,3.11E-06,-1.13E-04,-8.25E-05,-1.14E-04,3.11E-06,-46.537,-20.93,-31.948,6.2536,-3.86E+08,3.56E+08,-3.86E+08,3.56E+08,-1.25E+08,2.09E+08,0.00E+00,1.82E-02,3.71E-06,1.82E-02,0.00E+00,1.28E-02,0,8.04E+09,1.29E+06,8.04E+09,0.00E+00,1.39E+09,-1.14E-04,3.11E-06,-4.65E+01,6.25E+00,-3.86E+08,3.56E+08,0.00E+00,1.82E-02,0,8.04E+09,0,1.70E+09
26,1,3.53E-06,-1.18E-04,3.87E-06,-1.18E-04,-8.90E-05,-1.18E-04,3.87E-06,-46.537,-20.93,-33.368,6.9695,-2.56E+08,3.31E+08,-2.56E+08,3.31E+08,-1.31E+08,1.00E+08,0.00E+00,1.77E-02,3.84E-06,1.77E-02,0.00E+00,1.28E-02,0,7.83E+09,1.09E+06,7.83E+09,0.00E+00,1.39E+09,-1.18E-04,3.87E-06,-4.65E+01,6.97E+00,-2.56E+08,3.31E+08,0.00E+00,1.77E-02,0,7.83E+09,0,1.70E+09
27,1,3.67E-06,-1.22E-04,4.38E-06,-1.22E-04,-9.56E-05,-1.22E-04,4.38E-06,-46.537,-20.93,-32.983,4.3216,-2.59E+08,2.07E+08,-2.59E+08,2.07E+08,-1.31E+08,1.21E+08,0.00E+00,1.75E-02,2.69E-06,1.75E-02,0.00E+00,1.29E-02,0,7.72E+09,4.76E+05,7.72E+09,0.00E+00,1.39E+09,-1.22E-04,4.38E-06,-4.65E+01,4.32E+00,-2.59E+08,2.07E+08,0.00E+00,1.75E-02,0,7.72E+09,0,1.69E+09
28,1,3.81E-06,-1.26E-04,4.34E-06,-1.26E-04,-1.02E-04,-1.26E-04,4.34E-06,-46.537,-20.93,-31.956,4.3605,-2.50E+08,2.40E+08,-2.50E+08,2.40E+08,-1.17E+08,1.01E+08,0.00E+00,1.73E-02,3.04E-06,1.73E-02,0.00E+00,1.29E-02,0,7.63E+09,7.91E+05,7.63E+09,0.00E+00,1.39E+09,-1.26E-04,4.34E-06,-4.65E+01,4.36E+00,-2.50E+08,2.40E+08,0.00E+00,1.73E-02,0,7.63E+09,0,1.69E+09
29,1,3.95E-06,-1.30E-04,4.38E-06,-1.30E-04,-1.05E-04,-1.30E-04,4.38E-06,-46.537,-20.93,-30.956,2.6721,-2.10E+09,1.15E+09,-2.10E+09,1.15E+09,-9.37E+07,1.09E+08,0.00E+00,1.55E-02,2.22E-06,1.55E-02,0.00E+00,1.29E-02,0,6.84E+09,7.40E+05,6.84E+09,0.00E+00,1.38E+09,-1.30E-04,4.38E-06,-4.65E+01,2.67E+00,-2.10E+09,1.15E+09,0.00E+00,1.55E-02,0,6.84E+09,0,1.69E+09
30,1,4.09E-06,-1.34E-04,4.58E-06,-1.34E-04,-1.08E-04,-1.34E-04,4.58E-06,-46.537,-20.514,-30.448,3.361,-2.29E+09,1.22E+09,-2.29E+09,1.22E+09,-1.01E+08,1.01E+08,0.00E+00,1.30E-02,1.93E-06,1.29E-02,0.00E+00,1.30E-02,0,5.55E+09,5.69E+05,5.55E+09,0.00E+00,1.39E+09,-1.34E-04,4.58E-06,-4.65E+01,3.36E+00,-2.29E+09,1.22E+09,0.00E+00,1.30E-02,0,5.55E+09,0,1.69E+09
